authority_name;permission_name
ROLE_ADMIN;group-maintenance-widget-access
ROLE_ADMIN;create-group
ROLE_ADMIN;edit-group
ROLE_ADMIN;search-user-widget-access
ROLE_ADMIN;create-edit-user-widget-access
ROLE_ADMIN;create-user
ROLE_ADMIN;edit-user
ROLE_ADMIN;disable-user
ROLE_ADMIN;delete-user
ROLE_ADMIN;enable-user
ROLE_ADMIN;retrain-voice-model
ROLE_ADMIN;create-canvas
ROLE_ADMIN;delete-canvas
ROLE_ADMIN;edit-canvas
ROLE_ADMIN;user-management-canvas-view
ROLE_ADMIN;user-management-canvas-edit
ROLE_ADMIN;pick-monitoring-canvas-view
ROLE_ADMIN;pick-monitoring-canvas-edit
ROLE_ADMIN;user-list-download-excel
ROLE_ADMIN;user-list-download-pdf
ROLE_ADMIN;create-product
ROLE_ADMIN;view-product
ROLE_ADMIN;edit-product
ROLE_ADMIN;delete-product
ROLE_ADMIN;create-assignment
ROLE_ADMIN;view-report-productivity
ROLE_ADMIN;configure-location
ROLE_ADMIN;authenticated-user
ROLE_ADMIN;edit-multi-user
ROLE_ADMIN;pickline-by-wave-widget-access
ROLE_ADMIN;search-product-grid-widget-access
ROLE_USER;group-maintenance-widget-access
ROLE_USER;search-user-widget-access
ROLE_USER;retrain-voice-model
ROLE_USER;user-management-canvas-view
ROLE_USER;pick-monitoring-canvas-view
ROLE_USER;user-list-download-excel
ROLE_USER;user-list-download-pdf
ROLE_USER;view-product
ROLE_USER;view-report-productivity
ROLE_USER;pickline-by-wave-widget-access
ROLE_USER;search-product-grid-widget-access
